logLocation,logLevel,logStackTrace,exceptionType,exceptionCategory,exceptionSource,exceptionNum,exceptionMethodCall,exceptionMethodSource,exceptionMethodNum,catchInLoop,isLogInInnerLoop,isLogInInnerBranch,isLogInInnerTryBlock,throwInCatchBlock,returnInCatchBlock,throwInTryBlock,returnInTryBlock,numMethodCallsBeforeLogging,numMethodCallsAfterLogging,LOCBeforeLogging,LOCAfterLogging,numMethodCallsInTryBlock
Shell.java:773,warn,true,IOException,NORMAL,FROMJDK,1,ShellCommandExecutor.execute,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,1,1
Shell.java:776,info,false,SecurityException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,1,1
Shell.java:804,debug,false,IOException,NORMAL,FROMJDK,1,ShellCommandExecutor.execute,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,1,1
Shell.java:807,debug,false,SecurityException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,0,1,1
Shell.java:817,info,true,Error,ERROR,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,true,false,false,false,false,false,3,0,6,2,1
Shell.java:977,warn,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,false,false,true,false,false,false,false,false,1,1,4,4,6
Shell.java:979,debug,true,IOException,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,2,false,false,true,false,false,false,false,false,2,0,6,1,6
Shell.java:989,error,false,OutOfMemoryError,ERROR,FROMJDK,1,Thread.start,FROMJDK,1,false,false,false,false,true,false,false,false,0,0,0,1,1
Shell.java:1033,warn,true,IOException,NORMAL,FROMJDK,1,BufferedReader.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,2
Shell.java:1045,warn,true,IOException,NORMAL,FROMJDK,1,BufferedReader.close,FROMJDK,1,false,false,false,false,false,false,false,false,0,0,0,0,2
Shell.java:1060,warn,true,InterruptedException,NORMAL,FROMJDK,1,Thread.join,FROMJDK,1,true,false,false,false,false,false,false,false,1,1,1,2,1
ServiceLauncher.java:428,debug,false,ClassNotFoundException,NORMAL,FROMJDK,1,ClassLoader.loadClass,FROMJDK,1,true,false,false,false,false,false,true,false,0,0,1,0,4
ServiceLauncher.java:435,info,true,Exception,NORMAL,FROMJDK,1,MultiMethods,FROMJDK,3,true,false,false,false,false,false,true,false,0,0,1,0,4
ServiceLauncher.java:629,debug,true,NoSuchMethodException,NORMAL,FROMJDK,1,Class.getConstructor,FROMJDK,1,false,false,false,false,false,false,false,false,0,2,1,2,2
ServiceLauncher.java:722,warn,true,IllegalArgumentException,RUNTIME,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,1,0,2
HttpRequestLog.java:65,debug,true,NoClassDefFoundError,ERROR,FROMJDK,1,UnknownMethod,UnknownMethod,0,false,false,false,false,false,false,false,false,0,0,3,1,0
HttpRequestLog.java:76,warn,false,LogConfigurationException,RUNTIME,FROMLIBRARY,1,Category.getAppender,FROMLIBRARY,1,false,false,false,false,true,false,false,false,0,0,0,1,1
Groups.java:405,warn,true,IOException,NORMAL,FROMJDK,1,GroupMappingServiceProvider.cacheGroupsRefresh,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
Groups.java:422,warn,true,IOException,NORMAL,FROMJDK,1,GroupMappingServiceProvider.cacheGroupsAdd,FROMPROJECT,1,false,false,false,false,false,false,false,false,0,0,0,0,1
HostsFileReader.java:175,error,true,MultiExceptions,NORMAL,FROMJDK,3,MultiMethods,FROMJDK,2,false,false,false,false,true,false,false,false,0,0,0,1,13
ApplicationClassLoader.java:182,debug,false,ClassNotFoundException,NORMAL,FROMJDK,1,URLClassLoader.findClass,FROMJDK,1,false,false,false,false,false,false,false,false,1,0,1,2,3
